BLOCKID,SENATE
090035042003000, 2
090035244002001, 2
090034731004005, 2
090035245012002, 2
090034731002001, 2
090034737002013, 2
090034737002012, 2
090034712001002, 2
090039801001016, 2
090034734001006, 2
090034714001001, 2
090034715002013, 2
090035015001000, 2
090034734002005, 2
090035246003018, 2
090034736012002, 2
090034735011045, 2
090034715001005, 2
090034736013016, 2
090034731004006, 2
090034712001011, 2
090035245012007, 2
090034713001000, 2
090035040003009, 2
090035039003005, 2
090035245021005, 2
090034735011020, 2
090035013001007, 2
090034738002021, 2
090034713002002, 2
090035039004008, 2
090035040001005, 2
090034715001012, 2
090034711001003, 2
090035039004013, 2
090035039001008, 2
090035015002011, 2
090034715002030, 2
090034736011001, 2
090034736011015, 2
090034713001001, 2
090034714002004, 2
090034734002004, 2
090034735013019, 2
090034715001009, 2
090035038001012, 2
090035018003004, 2
090035245021009, 2
090034736011002, 2
090034737005000, 2
090035246003008, 2
090034712001007, 2
090035031011002, 2
090035245022003, 2
090034735011023, 2
090035021002010, 2
090034714002013, 2
090034736022007, 2
090034713002009, 2
090035244002003, 2
090034735011046, 2
090034734001017, 2
090034711002009, 2
090035039004024, 2
090034731003010, 2
090039801001008, 2
090035042002005, 2
090035015001006, 2
090034714005007, 2
090035013002002, 2
090035245021007, 2
090034714002017, 2
090035013001003, 2
090034712002005, 2
090034737003003, 2
090034714002012, 2
090034712002025, 2
090035015001004, 2
090034731002003, 2
090035042001005, 2
090035040003003, 2
090035017001001, 2
090034714002005, 2
090034736011006, 2
090035042001009, 2
090034713002007, 2
090034735011019, 2
090035037001006, 2
090035040002005, 2
090034737007009, 2
090035244001009, 2
090035038001000, 2
090035035001001, 2
090035021002017, 2
090034715002005, 2
090035244001004, 2
090034737003007, 2
090035246003022, 2
090035013002003, 2
090035039004006, 2
090035040003007, 2
090034731004012, 2
090034714003013, 2
090034714004005, 2
090034737004017, 2
090034737005005, 2
090035040002000, 2
090034713003021, 2
090034713003015, 2
090034713002008, 2
090034731003000, 2
090035245012004, 2
090034737005003, 2
090035033003000, 2
090035031023001, 2
090034715001000, 2
090035012001006, 2
090034738001011, 2
090035244001006, 2
090034736013011, 2
090034737007010, 2
090034736012008, 2
090034713002001, 2
090034713003012, 2
090039801001018, 2
090034734001000, 2
090035246003020, 2
090035014002002, 2
090034737003010, 2
090034715002026, 2
090035039003004, 2
090034737004013, 2
090034713004005, 2
090034738002004, 2
090035029002001, 2
090035012002003, 2
090035246003014, 2
090035040002003, 2
090034713004000, 2
090034713004002, 2
090034737004021, 2
090034738002009, 2
090034711002013, 2
090034711003004, 2
090034737007003, 2
090035012002000, 2
090035245011002, 2
090035012001003, 2
090034735011011, 2
090035244002005, 2
090034715002011, 2
090035042003001, 2
090034738002005, 2
090035029001000, 2
090034712002014, 2
090035038001010, 2
090034712001010, 2
090034735013002, 2
090034714005005, 2
090034711003001, 2
090034735013010, 2
090034711003005, 2
090034715002015, 2
090034738001015, 2
090034714005009, 2
090035246003023, 2
090034737006002, 2
090034736011003, 2
090035042001007, 2
090034713003008, 2
090034711002015, 2
090034735011035, 2
090034731003006, 2
090034736011010, 2
090035042001004, 2
090034734001020, 2
090035009001009, 2
090034714005011, 2
090034735011029, 2
090034713003020, 2
090034715001002, 2
090035244001011, 2
090034737001002, 2
090034738002007, 2
090034714002016, 2
090034735011049, 2
090039801001001, 2
090035040001001, 2
090034712002003, 2
090035244001015, 2
090035039001004, 2
090035040002002, 2
090034738001002, 2
090034714004002, 2
090034711001008, 2
090035039003002, 2
090034711003014, 2
090034715001008, 2
090035039003001, 2
090035037002007, 2
090034737001006, 2
090035039001016, 2
090034713002011, 2
090034737004015, 2
090034734001011, 2
090034736013019, 2
090035033001001, 2
090034735011005, 2
090034714004010, 2
090034714001005, 2
090034736012005, 2
090034737004016, 2
090034713003014, 2
090034712002013, 2
090034711003002, 2
090035015002008, 2
090034713003002, 2
090035246002005, 2
090035246003021, 2
090035039004005, 2
090034715002012, 2
090034731005001, 2
090034711002023, 2
090034711002005, 2
090035244001013, 2
090034738001010, 2
090034715002007, 2
090034712002024, 2
090034715001011, 2
090034734001014, 2
090034713003000, 2
090035035001000, 2
090034737002008, 2
090034736012001, 2
090034714002008, 2
090034736011009, 2
090034737001007, 2
090035015001008, 2
090034731005004, 2
090034715002029, 2
090034711002017, 2
090035244001010, 2
090034713001013, 2
090034735013007, 2
090034737007005, 2
090035042001011, 2
090034735013017, 2
090034737007008, 2
090035040001002, 2
090035013002000, 2
090034715002032, 2
090035245022002, 2
090035035001004, 2
090034735011018, 2
090034735011032, 2
090035038001002, 2
090034715002019, 2
090034714005008, 2
090034735011047, 2
090035035001002, 2
090035042002003, 2
090035042002006, 2
090034735011030, 2
090034738002014, 2
090034715002001, 2
090035018003005, 2
090035018001000, 2
090035037001004, 2
090034737001003, 2
090034712002000, 2
090035012001008, 2
090035021002009, 2
090034715002028, 2
090034712002006, 2
090035031011006, 2
090034714004000, 2
090034736012009, 2
090034711002001, 2
090034735013013, 2
090034737004009, 2
090034711002008, 2
090035040001007, 2
090035042001000, 2
090035040002004, 2
090034731005008, 2
090034731005000, 2
